type_of_food,number_of_guests,event_type,quantity_of_food,storage_conditions,purchase_history,seasonality,preparation_method,geographical_location,pricing,wastage_food_amount,type_code
Baked Goods,342,Corporate,405,Room Temperature,Regular,Summer,Finger Food,Urban,Moderate,29,0
Vegetables,350,Birthday,450,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,Moderate,25,4
Fruits,250,Wedding,350,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Moderate,20,2
Baked Goods,320,Birthday,480,Room Temperature,Regular,Summer,Buffet,Suburban,High,40,0
Vegetables,320,Corporate,400,Room Temperature,Regular,Winter,Buffet,Urban,Moderate,25,4
Fruits,400,Birthday,500,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,50,2
Fruits,320,Corporate,400,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,20,2
Meat,250,Social Gathering,480,Room Temperature,Regular,Winter,Finger Food,Rural,Low,20,3
Baked Goods,350,Corporate,450,Room Temperature,Regular,Winter,Finger Food,Urban,Low,20,0
Vegetables,400,Corporate,500,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,45,4
Meat,250,Social Gathering,350,Room Temperature,Regular,Summer,Buffet,Rural,Moderate,20,3
Vegetables,434,Wedding,495,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Low,36,4
Vegetables,350,Birthday,450,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,45,4
Vegetables,400,Birthday,500,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,50,4
Baked Goods,280,Wedding,350,Room Temperature,Regular,Summer,Finger Food,Urban,Moderate,15,0
Fruits,250,Social Gathering,350,Refrigerated,Regular,All Seasons,Buffet,Suburban,Moderate,20,2
Baked Goods,300,Wedding,400,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,40,0
Vegetables,250,Corporate,350,Refrigerated,Occasional,Summer,Finger Food,Suburban,Moderate,20,4
Baked Goods,300,Birthday,400,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,25,0
Vegetables,300,Wedding,400,Refrigerated,Occasional,Summer,Finger Food,Suburban,Moderate,25,4
Dairy Products,280,Social Gathering,350,Room Temperature,Regular,Winter,Buffet,Urban,Low,20,1
Baked Goods,432,Wedding,477,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Low,23,0
Vegetables,300,Social Gathering,400,Room Temperature,Regular,Summer,Finger Food,Rural,Low,20,4
Dairy Products,300,Wedding,400,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,High,40,1
Dairy Products,320,Corporate,480,Room Temperature,Regular,All Seasons,Buffet,Suburban,High,40,1
Vegetables,320,Social Gathering,400,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,35,4
Dairy Products,300,Corporate,400,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,15,1
Baked Goods,400,Corporate,500,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,40,0
Meat,350,Social Gathering,450,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,Moderate,25,3
Baked Goods,320,Corporate,400,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,25,0
Meat,220,Social Gathering,300,Room Temperature,Occasional,Winter,Finger Food,Rural,Moderate,15,3
Dairy Products,275,Wedding,388,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Low,16,1
Vegetables,350,Wedding,450,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25,4
Dairy Products,320,Birthday,400,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,25,1
Fruits,380,Wedding,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,35,2
Dairy Products,400,Birthday,500,Room Temperature,Regular,Winter,Finger Food,Suburban,High,40,1
Vegetables,300,Social Gathering,400,Refrigerated,Regular,Summer,Finger Food,Rural,Moderate,25,4
Baked Goods,275,Birthday,388,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Low,16,0
Baked Goods,400,Corporate,350,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,35,0
Meat,250,Social Gathering,350,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25,3
Baked Goods,434,Wedding,495,Room Temperature,Occasional,Summer,Sit-down Dinner,Suburban,Low,36,0
Baked Goods,320,Social Gathering,400,Room Temperature,Regular,All Seasons,Buffet,Rural,High,30,0
Baked Goods,400,Corporate,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,25,0
Fruits,220,Social Gathering,300,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,15,2
Baked Goods,280,Social Gathering,350,Room Temperature,Regular,Summer,Finger Food,Suburban,Low,20,0
Baked Goods,300,Wedding,400,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,15,0
Baked Goods,220,Corporate,300,Room Temperature,Occasional,Summer,Finger Food,Suburban,Moderate,15,0
Fruits,280,Social Gathering,350,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,15,2
Dairy Products,261,Wedding,350,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,23,1
Dairy Products,275,Social Gathering,388,Room Temperature,Regular,Summer,Finger Food,Suburban,Low,16,1
Dairy Products,400,Corporate,500,Room Temperature,Occasional,Summer,Sit-down Dinner,Suburban,High,50,1
Vegetables,380,Social Gathering,480,Room Temperature,Regular,All Seasons,Buffet,Suburban,Moderate,30,4
Dairy Products,280,Birthday,350,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,20,1
Baked Goods,400,Social Gathering,500,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,40,0
Dairy Products,220,Corporate,300,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,15,1
Fruits,350,Social Gathering,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Rural,Moderate,15,2
Dairy Products,350,Birthday,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,25,1
Dairy Products,220,Social Gathering,300,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,15,1
Baked Goods,220,Social Gathering,450,Room Temperature,Regular,All Seasons,Finger Food,Rural,Low,20,0
Baked Goods,220,Social Gathering,300,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,15,0
Meat,208,Social Gathering,282,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Moderate,22,3
Dairy Products,250,Wedding,350,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,34,1
Dairy Products,280,Social Gathering,350,Room Temperature,Regular,All Seasons,Finger Food,Rural,Low,20,1
Dairy Products,350,Birthday,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,45,1
Baked Goods,250,Social Gathering,350,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,40,0
Dairy Products,400,Corporate,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,25,1
Baked Goods,270,Social Gathering,400,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,40,0
Dairy Products,250,Corporate,350,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,25,1
Dairy Products,250,Wedding,350,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,20,1
Dairy Products,208,Social Gathering,282,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,22,1
Baked Goods,350,Social Gathering,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,35,0
Dairy Products,250,Social Gathering,350,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,20,1
Dairy Products,250,Social Gathering,350,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,20,1
Dairy Products,250,Social Gathering,350,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,25,1
Meat,302,Birthday,371,Refrigerated,Regular,Winter,Buffet,Suburban,Low,27,3
Meat,430,Wedding,477,Refrigerated,Regular,All Seasons,Buffet,Urban,Low,29,3
Meat,400,Birthday,450,Refrigerated,Regular,Summer,Buffet,Urban,Moderate,30,3
Meat,220,Wedding,300,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Low,15,3
Meat,350,Wedding,450,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,35,3
Meat,250,Wedding,350,Refrigerated,Regular,All Seasons,Buffet,Rural,Moderate,20,3
Meat,290,Corporate,374,Refrigerated,Occasional,Winter,Finger Food,Urban,Low,27,3
Meat,220,Birthday,450,Room Temperature,Regular,Winter,Finger Food,Rural,Low,20,3
Meat,300,Corporate,400,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,20,3
Meat,240,Corporate,450,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,20,3
Meat,442,Corporate,482,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Low,32,3
Meat,300,Wedding,400,Refrigerated,Occasional,Winter,Sit-down Dinner,Rural,Low,20,3
Meat,400,Corporate,500,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,50,3
Vegetables,491,Birthday,497,Refrigerated,Regular,Summer,Finger Food,Rural,High,32,4
Meat,220,Birthday,300,Refrigerated,Regular,Summer,Finger Food,Suburban,Moderate,20,3
Meat,350,Birthday,450,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,45,3
Meat,300,Social Gathering,400,Refrigerated,Regular,All Seasons,Buffet,Rural,High,40,3
Vegetables,302,Social Gathering,371,Refrigerated,Regular,Summer,Buffet,Rural,Low,27,4
Meat,350,Corporate,450,Refrigerated,Regular,Winter,Sit-down Dinner,Rural,Moderate,25,3
Meat,300,Corporate,400,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Moderate,15,3
Fruits,450,Corporate,500,Room Temperature,Occasional,Winter,Finger Food,Urban,High,30,2
Meat,434,Corporate,495,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,Low,36,3
Meat,250,Corporate,350,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,High,40,3
Meat,450,Birthday,500,Refrigerated,Regular,Summer,Finger Food,Urban,High,30,3
Meat,434,Wedding,495,Refrigerated,Regular,Winter,Sit-down Dinner,Rural,Low,36,3
Meat,280,Birthday,350,Room Temperature,Regular,Winter,Finger Food,Rural,Low,15,3
Meat,280,Corporate,480,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,15,3
Meat,280,Corporate,350,Room Temperature,Regular,Winter,Finger Food,Rural,Low,15,3
Meat,429,Corporate,496,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Low,42,3
Meat,320,Corporate,400,Refrigerated,Regular,Winter,Finger Food,Urban,Moderate,25,3
Meat,400,Corporate,500,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,45,3
Fruits,220,Corporate,300,Room Temperature,Regular,Summer,Finger Food,Urban,Moderate,20,2
Dairy Products,220,Birthday,300,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,15,1
Fruits,250,Social Gathering,350,Room Temperature,Regular,Winter,Buffet,Rural,Moderate,20,2
Dairy Products,300,Corporate,400,Room Temperature,Regular,Summer,Buffet,Suburban,High,30,1
Dairy Products,400,Wedding,500,Room Temperature,Regular,All Seasons,Buffet,Rural,High,30,1
Baked Goods,430,Social Gathering,477,Room Temperature,Regular,Winter,Buffet,Urban,Low,29,0
Fruits,300,Birthday,400,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,20,2
Fruits,320,Corporate,400,Room Temperature,Occasional,All Seasons,Buffet,Rural,Moderate,25,2
Baked Goods,280,Wedding,350,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,20,0
Vegetables,350,Birthday,450,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,35,4
Meat,453,Social Gathering,484,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,54,3
Vegetables,300,Wedding,400,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,Low,20,4
Baked Goods,320,Corporate,400,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,25,0
Dairy Products,320,Birthday,400,Room Temperature,Regular,All Seasons,Buffet,Suburban,High,30,1
Baked Goods,300,Corporate,400,Room Temperature,Occasional,All Seasons,Buffet,Suburban,High,40,0
Meat,350,Wedding,450,Refrigerated,Occasional,All Seasons,Buffet,Suburban,High,40,3
Baked Goods,250,Corporate,350,Room Temperature,Regular,Summer,Buffet,Urban,Low,10,0
Meat,220,Wedding,300,Refrigerated,Regular,Winter,Finger Food,Suburban,Moderate,20,3
Meat,220,Birthday,300,Refrigerated,Regular,Summer,Finger Food,Suburban,Moderate,15,3
Meat,250,Corporate,350,Refrigerated,Regular,Winter,Buffet,Urban,Low,10,3
Fruits,250,Corporate,350,Refrigerated,Regular,Winter,Buffet,Urban,Low,10,2
Meat,220,Corporate,300,Refrigerated,Regular,Summer,Finger Food,Urban,Moderate,15,3
Meat,270,Corporate,400,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,40,3
Meat,280,Birthday,350,Refrigerated,Regular,All Seasons,Finger Food,Urban,Moderate,20,3
Fruits,300,Wedding,400,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,40,2
Dairy Products,320,Birthday,400,Room Temperature,Regular,Winter,Buffet,Rural,High,40,1
Baked Goods,280,Birthday,400,Room Temperature,Regular,Summer,Buffet,Urban,Moderate,25,0
Vegetables,450,Corporate,500,Refrigerated,Regular,Summer,Finger Food,Suburban,High,30,4
Meat,280,Birthday,480,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Low,15,3
Meat,380,Corporate,480,Refrigerated,Occasional,Summer,Buffet,Suburban,Moderate,30,3
Vegetables,320,Birthday,480,Refrigerated,Regular,All Seasons,Buffet,Rural,High,40,4
Meat,350,Wedding,450,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,35,3
Meat,350,Wedding,450,Refrigerated,Regular,Summer,Sit-down Dinner,Rural,Moderate,25,3
Vegetables,220,Social Gathering,300,Refrigerated,Regular,Summer,Finger Food,Rural,Moderate,20,4
Dairy Products,220,Social Gathering,300,Room Temperature,Regular,Winter,Buffet,Suburban,Low,10,1
Baked Goods,310,Social Gathering,350,Room Temperature,Regular,Summer,Finger Food,Urban,High,35,0
Baked Goods,220,Corporate,300,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,15,0
Baked Goods,280,Birthday,350,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,20,0
Meat,400,Wedding,500,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,Low,25,3
Meat,250,Wedding,350,Refrigerated,Occasional,Winter,Sit-down Dinner,Rural,Moderate,20,3
Meat,280,Social Gathering,350,Refrigerated,Regular,All Seasons,Finger Food,Urban,Low,20,3
Vegetables,350,Wedding,450,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,45,4
Meat,400,Social Gathering,500,Room Temperature,Regular,Winter,Finger Food,Rural,High,40,3
Baked Goods,400,Corporate,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,40,0
Dairy Products,250,Social Gathering,480,Room Temperature,Regular,Summer,Finger Food,Urban,Low,20,1
Dairy Products,320,Wedding,400,Room Temperature,Regular,All Seasons,Sit-down Dinner,Rural,High,35,1
Dairy Products,350,Wedding,450,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,20,1
Dairy Products,400,Wedding,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Rural,High,50,1
Baked Goods,300,Social Gathering,400,Room Temperature,Regular,All Seasons,Buffet,Suburban,High,40,0
Baked Goods,250,Birthday,350,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25,0
Baked Goods,350,Wedding,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Rural,Moderate,25,0
Baked Goods,250,Corporate,350,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Moderate,25,0
Baked Goods,320,Birthday,400,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,25,0
Fruits,280,Social Gathering,350,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,15,2
Baked Goods,247,Corporate,348,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,16,0
Dairy Products,400,Corporate,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,50,1
Dairy Products,380,Wedding,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,35,1
Fruits,400,Social Gathering,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,50,2
Fruits,250,Wedding,350,Refrigerated,Occasional,Winter,Sit-down Dinner,Rural,Moderate,20,2
Meat,320,Social Gathering,400,Refrigerated,Regular,Summer,Finger Food,Urban,Moderate,25,3
Meat,320,Corporate,400,Refrigerated,Occasional,All Seasons,Finger Food,Urban,Moderate,25,3
Fruits,280,Birthday,350,Refrigerated,Occasional,All Seasons,Finger Food,Rural,Moderate,20,2
Baked Goods,220,Corporate,300,Room Temperature,Regular,Summer,Finger Food,Suburban,Low,15,0
Vegetables,290,Wedding,374,Refrigerated,Occasional,Summer,Finger Food,Rural,Low,27,4
Fruits,488,Corporate,498,Room Temperature,Regular,Summer,Finger Food,Rural,High,63,2
Vegetables,220,Birthday,300,Refrigerated,Regular,Winter,Finger Food,Suburban,Low,15,4
Meat,350,Wedding,450,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,High,35,3
Fruits,300,Wedding,400,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,40,2
Fruits,400,Corporate,450,Room Temperature,Occasional,All Seasons,Buffet,Urban,Moderate,30,2
Fruits,342,Birthday,405,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,29,2
Meat,292,Social Gathering,470,Refrigerated,Occasional,Summer,Sit-down Dinner,Urban,High,50,3
Fruits,320,Wedding,400,Room Temperature,Occasional,All Seasons,Finger Food,Suburban,Low,15,2
Meat,350,Corporate,450,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,Moderate,25,3
Dairy Products,380,Corporate,400,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,25,1
Baked Goods,250,Social Gathering,350,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,20,0
Baked Goods,247,Social Gathering,348,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,16,0
Dairy Products,397,Wedding,482,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,31,1
Dairy Products,300,Social Gathering,400,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Moderate,15,1
Baked Goods,280,Wedding,350,Room Temperature,Regular,Winter,Finger Food,Urban,Low,15,0
Baked Goods,320,Corporate,480,Room Temperature,Regular,Summer,Buffet,Suburban,High,40,0
Vegetables,280,Birthday,350,Refrigerated,Regular,Summer,Finger Food,Urban,Moderate,20,4
Baked Goods,220,Corporate,300,Room Temperature,Regular,Winter,Finger Food,Urban,Low,15,0
Baked Goods,434,Wedding,495,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Low,36,0
Meat,300,Corporate,400,Refrigerated,Occasional,All Seasons,Finger Food,Suburban,Moderate,15,3
Dairy Products,300,Corporate,400,Room Temperature,Regular,All Seasons,Buffet,Suburban,High,30,1
Baked Goods,220,Birthday,300,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,20,0
Baked Goods,275,Birthday,388,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Low,16,0
Baked Goods,400,Wedding,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Rural,High,40,0
Vegetables,250,Social Gathering,480,Refrigerated,Regular,Summer,Finger Food,Rural,Low,20,4
Fruits,300,Social Gathering,400,Refrigerated,Regular,All Seasons,Buffet,Suburban,High,40,2
Fruits,350,Corporate,450,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,40,2
Vegetables,342,Corporate,405,Refrigerated,Occasional,Winter,Finger Food,Rural,Moderate,29,4
Baked Goods,320,Birthday,480,Room Temperature,Regular,All Seasons,Buffet,Suburban,High,40,0
Fruits,488,Social Gathering,498,Room Temperature,Regular,Winter,Finger Food,Rural,High,63,2
Baked Goods,280,Corporate,350,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Low,25,0
Baked Goods,280,Birthday,350,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,20,0
Fruits,280,Corporate,480,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Moderate,15,2
Dairy Products,300,Wedding,400,Room Temperature,Regular,Summer,Finger Food,Suburban,Low,20,1
Meat,300,Social Gathering,450,Refrigerated,Regular,All Seasons,Finger Food,Suburban,High,35,3
Dairy Products,280,Wedding,480,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Low,15,1
Fruits,439,Social Gathering,459,Room Temperature,Regular,All Seasons,Buffet,Suburban,Low,39,2
Dairy Products,380,Wedding,480,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Low,10,1
Baked Goods,400,Corporate,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,25,0
Baked Goods,247,Birthday,348,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,16,0
Baked Goods,220,Corporate,300,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,15,0
Dairy Products,280,Social Gathering,350,Room Temperature,Regular,Winter,Finger Food,Rural,Low,15,1
Dairy Products,280,Wedding,480,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,15,1
Baked Goods,400,Corporate,500,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,50,0
Vegetables,400,Corporate,500,Refrigerated,Occasional,Winter,Sit-down Dinner,Suburban,High,40,4
Dairy Products,320,Social Gathering,400,Room Temperature,Regular,Summer,Buffet,Rural,High,40,1
Fruits,250,Wedding,350,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,20,2
Fruits,438,Corporate,493,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,35,2
Baked Goods,220,Social Gathering,300,Room Temperature,Regular,Summer,Finger Food,Rural,Low,15,0
Fruits,320,Birthday,400,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,25,2
Meat,250,Social Gathering,350,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Moderate,20,3
Fruits,400,Corporate,350,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,35,2
Vegetables,350,Corporate,450,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,25,4
Baked Goods,220,Wedding,300,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,15,0
Dairy Products,350,Corporate,450,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Low,20,1
Dairy Products,350,Birthday,450,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,30,1
Dairy Products,300,Birthday,450,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,35,1
Dairy Products,400,Corporate,500,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,40,1
Dairy Products,488,Corporate,498,Room Temperature,Regular,All Seasons,Finger Food,Urban,High,63,1
Dairy Products,350,Corporate,450,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35,1
Vegetables,230,Social Gathering,500,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Moderate,30,4
Dairy Products,250,Wedding,350,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,40,1
Baked Goods,320,Birthday,400,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,25,0
Baked Goods,208,Wedding,282,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,22,0
Baked Goods,350,Social Gathering,350,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,High,35,0
Baked Goods,220,Social Gathering,300,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,20,0
Dairy Products,350,Corporate,450,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,20,1
Dairy Products,240,Social Gathering,450,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Low,20,1
Baked Goods,350,Social Gathering,450,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,35,0
Baked Goods,220,Birthday,300,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,15,0
Dairy Products,220,Corporate,300,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,15,1
Dairy Products,400,Corporate,400,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,40,1
Dairy Products,350,Wedding,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,40,1
Baked Goods,250,Social Gathering,350,Room Temperature,Occasional,All Seasons,Buffet,Rural,Moderate,20,0
Meat,350,Social Gathering,450,Room Temperature,Occasional,Winter,Sit-down Dinner,Suburban,Moderate,25,3
Dairy Products,350,Corporate,450,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,30,1
Dairy Products,300,Birthday,400,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,15,1
Dairy Products,280,Social Gathering,350,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Low,25,1
Dairy Products,280,Social Gathering,350,Room Temperature,Regular,All Seasons,Finger Food,Rural,Low,15,1
Dairy Products,453,Birthday,484,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,54,1
Dairy Products,320,Birthday,400,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,25,1
Fruits,220,Social Gathering,300,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,15,2
Baked Goods,208,Birthday,282,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,22,0
Dairy Products,220,Corporate,300,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,15,1
Dairy Products,300,Corporate,400,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,15,1
Dairy Products,280,Social Gathering,350,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,20,1
Meat,320,Wedding,400,Refrigerated,Occasional,Winter,Buffet,Rural,High,30,3
Meat,300,Birthday,400,Refrigerated,Regular,Summer,Buffet,Suburban,High,40,3
Meat,302,Wedding,371,Refrigerated,Regular,All Seasons,Buffet,Suburban,Low,27,3
Meat,250,Wedding,350,Refrigerated,Regular,Summer,Finger Food,Suburban,High,35,3
Fruits,320,Social Gathering,480,Refrigerated,Regular,Winter,Buffet,Rural,High,40,2
Meat,320,Corporate,400,Refrigerated,Regular,Winter,Finger Food,Urban,Moderate,25,3
Baked Goods,284,Birthday,443,Room Temperature,Regular,Summer,Buffet,Urban,Low,32,0
Meat,280,Wedding,350,Refrigerated,Occasional,All Seasons,Finger Food,Rural,Low,20,3
Meat,453,Wedding,484,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,54,3
Meat,400,Birthday,500,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,Low,25,3
Meat,320,Social Gathering,400,Room Temperature,Regular,Summer,Buffet,Rural,High,30,3
Vegetables,434,Wedding,495,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Low,36,4
Meat,300,Corporate,400,Refrigerated,Regular,All Seasons,Finger Food,Rural,Moderate,15,3
Fruits,220,Corporate,300,Room Temperature,Regular,Summer,Finger Food,Urban,Moderate,20,2
Vegetables,400,Corporate,500,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,45,4
Meat,300,Corporate,400,Refrigerated,Occasional,Winter,Finger Food,Suburban,Moderate,25,3
Meat,300,Wedding,400,Refrigerated,Regular,All Seasons,Sit-down Dinner,Rural,Moderate,25,3
Fruits,412,Birthday,478,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Low,38,2
Fruits,491,Birthday,497,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,32,2
